"Pais","Puntuacion","CrimenOrg","ejercito2016","PBI2016"
"South Africa",4.4,4.241657537,81400,"296357282715.10931"
"South Korea",2.9,4.949736834,634000,"1500111596236.3716"
"Spain",2,5.661423446,197950,"1232076017361.5305"
"Sri Lanka",8.5,5.018181682,305200,"82401038709.535599"
"Sweden",1.3,6.200504433,30550,"515654671469.54694"
"Switzerland",2,6.055672833,20950,"671309197376.70105"
"Tajikistan",7.9,5.008410598,16300,"6952678127.0339594"
"Tanzania",6.1,4.934228461,28400,"49774021003.074745"
"Thailand",8.2,4.165259676,454550,"413430123185.36731"
"Trinidad and Tobago",4.3,3.792111495,4050,"22284780326.88559"
"Tunisia",6.7,4.377600979,47800,"41801210428.305397"
"Turkey",7.4,4.830023318,512000,"863721648058.01135"
"Uganda",8,4.076417199,46400,"28967460676.825184"
"Ukraine",6.2,3.334620267,292000,"93355993628.504227"
"United Arab Emirates",7.5,6.556076011,63000,"357045064669.84344"
"United Kingdom",1.9,5.637743528,150250,"2694283209613.2939"
"United States",3.4,4.948105866,1348400,"18707188235000"
"Uruguay",2.5,5.568153165,25450,"52687612261.542427"
"Venezuela",8.6,2.383004724,273000,".."
"Vietnam",7.5,4.872595276,522000,"205276172134.9014"
"Yemen",9.4,3.209751642,20000,"28084676409.185806"
"Zambia",7.1,5.035674115,16500,"20954761767.158623"
"Zimbabwe",8.4,5.471333361,50800,"20548678100.000004"
